id_student,code_module,code_presentation,total_clicks,promedio_clicks,interacciones,max_click_dia
6516,AAA,2014J,2791,4.216012084592145,662,49
8462,DDD,2013J,646,2.1533333333333333,300,16
8462,DDD,2014J,10,2.5,4,7
11391,AAA,2013J,934,4.76530612244898,196,76
23629,BBB,2013B,161,2.7288135593220337,59,13
23698,CCC,2014J,910,2.9836065573770494,305,78
23798,BBB,2013J,590,1.9281045751633987,306,21
24186,GGG,2014B,184,2.2439024390243905,82,7
24213,DDD,2014B,1992,2.69553450608931,739,23
24391,GGG,2013J,712,3.0956521739130434,230,72
24734,AAA,2014J,499,2.1695652173913045,230,19
25107,BBB,2013B,2562,4.898661567877629,523,51
25150,EEE,2014B,2103,4.14792899408284,507,82
25261,CCC,2014J,997,3.058282208588957,326,39
25572,DDD,2014J,113,1.9152542372881356,59,7
25629,BBB,2014B,16,2.2857142857142856,7,4
25997,BBB,2014B,13,1.8571428571428572,7,7
26023,GGG,2013J,786,2.9660377358490564,265,49
26192,AAA,2014J,2223,3.3732928679817906,659,25
26211,FFF,2014B,15205,6.23155737704918,2440,226
26247,FFF,2013J,478,3.22972972972973,148,29
26315,BBB,2014J,2451,3.972447325769854,617,138
26734,BBB,2014J,210,1.875,112,16
26915,EEE,2013J,61,1.967741935483871,31,6
27116,CCC,2014J,1847,2.6087570621468927,708,55
27189,FFF,2014B,2638,5.577167019027484,473,84
27417,DDD,2013J,410,2.808219178082192,146,16
27417,DDD,2014J,100,2.5641025641025643,39,10
27683,FFF,2014B,2129,5.3225,400,168
27759,BBB,2013J,366,2.010989010989011,182,18
27780,EEE,2014B,553,3.4779874213836477,159,69
27891,BBB,2013B,301,2.6403508771929824,114,22
27891,BBB,2014B,47,3.357142857142857,14,7
27935,DDD,2013J,813,2.463636363636364,330,16
28046,DDD,2013J,661,2.4124087591240877,274,15
28061,AAA,2014J,1590,2.3981900452488687,663,23
28400,AAA,2013J,1435,3.3372093023255816,430,23
28418,CCC,2014B,328,2.624,125,37
28787,CCC,2014J,645,2.6434426229508197,244,48
28808,FFF,2014B,232,2.1682242990654204,107,15
28897,FFF,2014B,3367,4.251262626262626,792,91
28952,CCC,2014J,105,2.3333333333333335,45,28
29144,BBB,2013B,1914,2.2650887573964495,845,40
29335,FFF,2013J,8840,4.485032978183663,1971,76
29411,CCC,2014J,329,3.3917525773195876,97,43
29411,DDD,2013J,841,2.0816831683168315,404,16
29420,CCC,2014J,816,2.863157894736842,285,51
29639,CCC,2014J,6986,4.312345679012346,1620,303
29639,EEE,2014B,3517,3.570558375634518,985,73
29764,CCC,2014B,2867,4.343939393939394,660,85
29769,FFF,2013J,1608,3.8840579710144927,414,50
29820,CCC,2014B,1027,2.313063063063063,444,73
29820,EEE,2014B,1475,2.7014652014652016,546,54
29985,GGG,2014B,760,2.923076923076923,260,29
30091,BBB,2013J,1332,3.883381924198251,343,47
30096,CCC,2014J,714,3.4,210,65
30268,AAA,2013J,281,3.6973684210526314,76,23
30531,FFF,2014B,1548,4.410256410256411,351,91
30549,DDD,2013J,137,2.044776119402985,67,18
30850,CCC,2014J,2258,3.9269565217391302,575,92
31014,BBB,2013J,531,3.0170454545454546,176,27
31107,GGG,2014B,3873,4.260726072607261,909,74
31161,CCC,2014J,2932,3.862977602108037,759,64
31173,DDD,2013J,858,3.0425531914893615,282,27
31205,GGG,2014J,381,2.8222222222222224,135,20
31269,DDD,2013J,300,2.158273381294964,139,22
31269,DDD,2014B,559,2.4955357142857144,224,18
31296,FFF,2014J,1280,5.378151260504202,238,92
31600,AAA,2014J,429,3.4047619047619047,126,26
31604,AAA,2013J,2158,3.2549019607843137,663,22
31663,BBB,2013B,5906,3.835064935064935,1540,42
31849,BBB,2013J,1179,3.23013698630137,365,19
32221,FFF,2013J,1133,3.814814814814815,297,45
32239,GGG,2013J,620,2.6724137931034484,232,22
32327,BBB,2014J,699,3.8833333333333333,180,65
32885,AAA,2013J,1034,2.9375,352,22
32930,BBB,2014J,438,3.395348837209302,129,35
33387,DDD,2013J,248,2.6956521739130435,92,17
33600,FFF,2013J,481,3.536764705882353,136,50
33666,BBB,2013B,1208,3.763239875389408,321,31
33681,DDD,2013J,434,2.191919191919192,198,19
33681,DDD,2014J,30,1.5789473684210527,19,8
33796,DDD,2014J,351,1.9392265193370166,181,15
33897,DDD,2013J,322,4.666666666666667,69,28
33915,FFF,2013B,4121,4.064102564102564,1014,61
33930,DDD,2013J,544,2.4954128440366974,218,21
34068,CCC,2014J,613,3.463276836158192,177,55
34087,DDD,2013J,294,1.9864864864864864,148,10
34087,DDD,2014J,131,1.8450704225352113,71,7
34229,BBB,2013B,706,2.5955882352941178,272,25
34293,FFF,2014B,921,5.032786885245901,183,92
34353,BBB,2013B,391,2.5064102564102564,156,22
34431,BBB,2013B,192,2.953846153846154,65,15
34653,DDD,2013J,213,2.088235294117647,102,15
34662,BBB,2014J,218,2.5057471264367814,87,23
34731,FFF,2013J,681,3.2122641509433962,212,59
34756,BBB,2013B,129,1.8428571428571427,70,7
34863,BBB,2013B,198,2.2,90,13
35001,GGG,2013J,77,1.6041666666666667,48,5
35340,EEE,2014B,1812,3.9563318777292578,458,55
35355,CCC,2014J,1116,3.9574468085106385,282,80
35355,EEE,2013J,2242,4.025134649910234,557,66
35502,DDD,2014B,545,1.8858131487889274,289,26
35508,CCC,2014J,1142,2.920716112531969,391,43
35508,EEE,2014B,2270,3.8279932546374367,593,66
