transformacion,motor,n_executors,repeticion,tiempo_segundos
T1,pandas,1,1,1.938163397993776
T1,pandas,1,2,1.2506813840009272
T1,pandas,1,3,0.7598725909992936
T1,pandas,1,4,0.7614157909993082
T1,pandas,1,5,0.7727214159967843
T2,pandas,1,1,3.0490434750026907
T2,pandas,1,2,2.3300139929997385
T2,pandas,1,3,2.345383298001252
T2,pandas,1,4,2.3461685290021705
T2,pandas,1,5,2.9792168349958956
T3,pandas,1,1,14.075854776005144
T3,pandas,1,2,15.523026438997476
T3,pandas,1,3,13.44366563299991
T3,pandas,1,4,13.560135711995827
T3,pandas,1,5,13.29336574300396
T4,pandas,1,1,5.114882481000677
T4,pandas,1,2,6.52017667000473
T4,pandas,1,3,5.943039735997445
T4,pandas,1,4,5.66674369500106
T4,pandas,1,5,6.633424845000263
T5,pandas,1,1,9.86164361700503
T5,pandas,1,2,9.304844744001457
T5,pandas,1,3,9.428717836999567
T5,pandas,1,4,9.743287311997847
T5,pandas,1,5,9.572586559006595
